CA-2014-100006,MH-17785,VEN02,Standard Class,delivered,2018-05-11 20:07:00.000,2018-05-11 20:30:00.000,2018-05-16 15:14:00.000,2018-05-19 13:42:00.000,2018-05-23
CA-2014-100090,PC-18745,VEN01,Standard Class,delivered,2018-01-30 10:21:00.000,2018-01-30 10:35:00.000,2018-01-31 20:39:00.000,2018-02-14 23:39:00.000,2018-02-26
CA-2014-100293,MV-18190,VEN01,Standard Class,delivered,2017-10-04 14:15:00.000,2017-10-04 15:25:00.000,2017-10-06 18:27:00.000,2017-10-11 14:50:00.000,2017-10-27
CA-2014-100328,AH-10195,VEN02,Standard Class,delivered,2018-05-17 14:22:00.000,2018-05-18 00:37:00.000,2018-05-18 13:59:00.000,2018-06-06 12:55:00.000,2018-06-08
CA-2014-100363,CJ-12010,VEN02,Standard Class,delivered,2017-08-28 17:01:00.000,2017-08-29 05:32:00.000,2017-08-29 19:51:00.000,2017-09-02 13:28:00.000,2017-09-15
CA-2014-100391,ES-14020,VEN03,Standard Class,delivered,2017-11-10 15:36:00.000,2017-11-14 04:26:00.000,2017-11-21 14:22:00.000,2017-12-06 16:38:00.000,2017-12-05
CA-2014-100678,EB-13840,VEN03,Standard Class,delivered,2017-12-10 23:59:00.000,2017-12-11 00:10:00.000,2017-12-20 18:52:00.000,2017-12-26 22:09:00.000,2018-01-15
CA-2014-100706,GD-14590,VEN02,Second Class,delivered,2017-05-03 16:51:00.000,2017-05-03 17:05:00.000,2017-05-04 15:03:00.000,2017-05-08 11:03:00.000,2017-06-02
CA-2014-100762,MZ-17515,VEN04,Standard Class,delivered,2018-01-03 16:55:00.000,2018-01-03 17:07:00.000,2018-01-11 17:17:00.000,2018-01-15 21:07:00.000,2018-02-09
CA-2014-100860,KD-16345,VEN03,Second Class,delivered,2018-04-06 17:55:00.000,2018-04-06 18:08:00.000,2018-04-10 00:22:00.000,2018-04-11 01:14:00.000,2018-04-23
CA-2014-100867,RA-19885,VEN02,Standard Class,delivered,2017-10-19 16:48:00.000,2017-10-20 02:56:00.000,2017-10-20 20:11:00.000,2017-10-23 20:49:00.000,2017-11-07
CA-2014-100881,NK-18490,VEN03,Standard Class,delivered,2018-05-10 11:06:00.000,2018-05-10 11:36:00.000,2018-05-15 08:27:00.000,2018-06-01 18:42:00.000,2018-06-08
CA-2014-100895,CC-12670,VEN01,Standard Class,delivered,2018-03-06 10:19:00.000,2018-03-07 02:15:00.000,2018-03-07 22:43:00.000,2018-03-21 01:28:00.000,2018-03-22
CA-2014-100916,SC-20095,VEN02,Standard Class,delivered,2017-10-23 19:42:00.000,2017-10-24 03:35:00.000,2017-10-26 13:27:00.000,2017-11-07 19:41:00.000,2017-11-23
CA-2014-100972,LE-16810,VEN01,Second Class,delivered,2018-04-21 15:02:00.000,2018-04-24 18:56:00.000,2018-04-25 00:42:00.000,2018-04-27 00:28:00.000,2018-05-16
CA-2014-101147,JG-15805,VEN02,First Class,delivered,2018-06-22 08:46:00.000,2018-06-22 09:15:00.000,2018-06-22 13:35:00.000,2018-07-02 19:54:00.000,2018-08-01
CA-2014-101175,MP-17965,VEN03,Standard Class,delivered,2018-06-20 11:08:00.000,2018-06-20 11:26:00.000,2018-06-20 14:50:00.000,2018-06-21 19:45:00.000,2018-07-03
CA-2014-101266,LC-17140,VEN02,Second Class,delivered,2017-06-07 18:06:00.000,2017-06-09 19:10:00.000,2017-06-13 09:10:00.000,2017-06-27 14:41:00.000,2017-07-04
CA-2014-101364,EH-13945,VEN02,Standard Class,delivered,2018-08-01 22:00:00.000,2018-08-01 22:10:00.000,2018-08-03 08:54:00.000,2018-08-07 15:13:00.000,2018-08-22
CA-2014-101392,CC-12670,VEN02,Standard Class,delivered,2017-12-29 19:01:00.000,2017-12-29 19:11:00.000,2018-01-04 22:56:00.000,2018-01-16 22:49:00.000,2018-01-30
CA-2014-101427,CK-12205,VEN02,Standard Class,delivered,2017-07-27 08:46:00.000,2017-07-28 08:45:00.000,2017-08-04 19:47:00.000,2017-08-08 18:58:00.000,2017-08-15
CA-2014-101462,DW-13585,VEN02,Standard Class,delivered,2018-01-24 09:08:00.000,2018-01-24 09:17:00.000,2018-01-24 20:51:00.000,2018-01-30 15:38:00.000,2018-02-20
CA-2014-101476,AM-10360,VEN02,First Class,delivered,2018-07-16 23:40:00.000,2018-07-17 00:35:00.000,2018-07-27 11:54:00.000,2018-08-06 17:40:00.000,2018-08-06
CA-2014-101560,KB-16585,VEN02,Second Class,delivered,2017-02-08 21:49:00.000,2017-02-10 02:43:00.000,2017-02-10 12:25:00.000,2017-02-14 14:03:00.000,2017-03-07
CA-2014-101602,JK-15730,VEN02,First Class,delivered,2017-11-24 19:47:00.000,2017-11-24 22:58:00.000,2017-11-29 15:46:00.000,2017-12-19 21:08:00.000,2017-12-27
CA-2014-101770,DC-13285,VEN02,Standard Class,delivered,2017-10-14 14:45:00.000,2017-10-15 14:56:00.000,2017-10-17 19:31:00.000,2017-10-30 20:53:00.000,2017-11-07
CA-2014-101833,SC-20050,VEN02,Second Class,delivered,2018-03-12 09:04:00.000,2018-03-13 04:10:00.000,2018-03-14 17:03:00.000,2018-04-03 22:40:00.000,2018-04-06
CA-2014-101931,DV-13465,VEN02,First Class,delivered,2017-11-26 01:04:00.000,2017-11-26 01:13:00.000,2017-11-30 13:38:00.000,2017-12-28 21:12:00.000,2018-01-03
CA-2014-102008,SC-20725,VEN02,Standard Class,canceled,2018-08-28 08:18:00.000,NULL,NULL,NULL,2018-10-10
CA-2014-102085,AM-10360,VEN02,Standard Class,delivered,2018-03-18 00:19:00.000,2018-03-18 00:30:00.000,2018-03-19 21:38:00.000,2018-03-22 16:04:00.000,2018-04-11
CA-2014-102274,LS-17245,VEN02,Standard Class,delivered,2018-05-29 20:20:00.000,2018-05-29 20:35:00.000,2018-06-04 08:00:00.000,2018-06-12 18:18:00.000,2018-07-24
CA-2014-102295,PS-18970,VEN01,Second Class,delivered,2017-11-03 14:25:00.000,2017-11-04 05:15:00.000,2017-11-07 16:57:00.000,2017-11-23 20:32:00.000,2017-11-24
CA-2014-102330,BF-11020,VEN02,Standard Class,delivered,2017-10-20 08:49:00.000,2017-10-20 09:06:00.000,2017-10-23 14:23:00.000,2017-11-11 14:04:00.000,2017-11-22
CA-2014-102645,AD-10180,VEN04,Standard Class,delivered,2018-03-07 17:48:00.000,2018-03-08 07:08:00.000,2018-03-09 23:48:00.000,2018-03-20 14:03:00.000,2018-04-06
CA-2014-102652,CK-12205,VEN02,Standard Class,delivered,2017-11-20 11:46:00.000,2017-11-20 12:08:00.000,2017-11-21 16:00:00.000,2017-11-22 22:22:00.000,2017-12-07
CA-2014-102673,DV-13045,VEN02,Standard Class,delivered,2017-11-16 23:06:00.000,2017-11-16 23:16:00.000,2017-11-17 22:32:00.000,2017-11-29 20:41:00.000,2017-12-08
CA-2014-102869,FP-14320,VEN02,Second Class,delivered,2017-08-15 16:17:00.000,2017-08-15 17:26:00.000,2017-08-16 18:18:00.000,2017-08-30 21:10:00.000,2017-09-19
CA-2014-102988,SS-20875,VEN01,Second Class,delivered,2017-01-25 01:29:00.000,2017-01-25 01:42:00.000,2017-01-25 09:22:00.000,2017-01-31 18:06:00.000,2017-03-08
CA-2014-103058,AM-10360,VEN02,First Class,delivered,2017-09-20 15:29:00.000,2017-09-21 03:04:00.000,2017-09-22 16:03:00.000,2017-09-27 21:42:00.000,2017-10-05
CA-2014-103086,PM-19135,VEN02,Second Class,delivered,2017-03-10 09:50:00.000,2017-03-10 09:50:00.000,2017-03-17 14:16:00.000,2017-03-31 14:05:00.000,2017-03-31
CA-2014-103100,AF-10885,VEN02,First Class,delivered,2018-01-30 11:03:00.000,2018-01-30 11:15:00.000,2018-02-05 15:44:00.000,2018-02-21 17:53:00.000,2018-03-13
CA-2014-103191,EP-13915,VEN01,Standard Class,delivered,2017-06-26 14:49:00.000,2017-06-27 04:23:00.000,2017-06-27 13:05:00.000,2017-06-29 16:57:00.000,2017-07-11
CA-2014-103219,DJ-13420,VEN02,Standard Class,delivered,2018-08-10 21:11:00.000,2018-08-10 21:25:00.000,2018-08-14 14:14:00.000,2018-08-23 19:42:00.000,2018-09-03
CA-2014-103310,SS-20590,VEN01,Standard Class,delivered,2018-05-16 11:51:00.000,2018-05-16 12:13:00.000,2018-05-17 14:57:00.000,2018-05-18 15:58:00.000,2018-05-25
CA-2014-103317,MS-17830,VEN04,First Class,delivered,2017-10-15 12:58:00.000,2017-10-17 04:09:00.000,2017-10-20 17:06:00.000,2017-10-21 12:23:00.000,2017-10-26
