1,CA-2014-145317,FUR-BO-10001798,261.96,2,0,41.9136
2,CA-2016-118689,FUR-CH-10000454,731.94,3,0,219.582
3,CA-2014-145317,FUR-BO-10001798,261.96,2,0,6.8714
4,CA-2016-118689,FUR-CH-10000454,731.94,3,0,-383.031
5,CA-2017-140151,OFF-LA-10000240,14.62,2,0,2.5164
6,CA-2017-127180,FUR-TA-10000577,957.5775,5,0.45,14.1694
7,CA-2017-166709,OFF-ST-10000760,22.368,2,0.2,1.9656
8,CA-2016-117121,FUR-FU-10001487,48.86,7,0,90.7152
9,CA-2014-116904,OFF-AR-10002833,7.28,4,0,5.7825
10,US-2016-107440,TEC-PH-10002275,907.152,6,0.2,34.47
11,CA-2016-158841,OFF-BI-10003910,18.504,3,0.2,85.3092
12,CA-2016-143714,OFF-AP-10002892,114.9,5,0,68.3568
13,CA-2014-143917,FUR-TA-10001539,1706.184,9,0.2,5.4432
14,CA-2014-139892,TEC-PH-10002033,911.424,4,0.2,132.5922
15,US-2017-168116,OFF-PA-10002365,15.552,3,0.2,-123.858
16,CA-2014-145541,OFF-BI-10003656,407.976,3,0.2,-3.816
17,CA-2015-145352,OFF-AP-10002311,68.81,5,0.8,13.3176
18,CA-2017-138289,OFF-BI-10000756,2.544,3,0.8,9.99
19,US-2016-140158,OFF-ST-10004186,665.88,6,0,2.4824
20,CA-2017-143112,OFF-ST-10000107,55.5,2,0,16.011
21,CA-2017-135909,OFF-AR-10003056,8.56,2,0,7.384
22,CA-2016-136301,TEC-PH-10001949,213.48,3,0.2,5.0596
23,US-2015-128587,OFF-BI-10002215,22.72,4,0.2,15.6884
24,US-2016-143819,OFF-AR-10000246,19.46,7,0,-1.0196
25,CA-2017-149881,OFF-AP-10001492,60.34,7,0,240.2649
26,CA-2017-158379,FUR-CH-10002774,71.372,2,0.3,4.2224
27,CA-2015-114811,FUR-TA-10000577,1044.63,3,0,11.7741
28,CA-2014-144624,OFF-BI-10001634,11.648,2,0.2,-1665.0522
29,CA-2016-138478,TEC-AC-10003027,90.57,3,0,-7.0532
30,CA-2016-108196,FUR-BO-10004834,3083.43,7,0.5,15.525
31,CA-2016-100300,OFF-BI-10000474,9.618,2,0.7,1.1016
32,CA-2017-118892,FUR-FU-10004848,124.2,3,0.2,9.7092
